id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Dreams,Echo Wave,electronic,happy,0.85,125,0.88,0.84,0.12
12,Forest Whisper,Woodland Echo,ambient,relaxed,0.32,65,0.72,0.45,0.95
13,Thunder Pulse,Electric Storm,rock,intense,0.89,148,0.52,0.68,0.08
14,Smooth Groove,Jazz Collective,jazz,moody,0.55,95,0.58,0.76,0.67
15,Urban Flow,City Beats,hip-hop,focused,0.78,110,0.75,0.82,0.25
16,Ocean Breeze,Coastal Waves,indie pop,chill,0.48,85,0.79,0.71,0.55
17,Dark Alley,Synth Noir,synthwave,moody,0.67,105,0.45,0.69,0.18
18,Sunset Serenade,Harmony Strings,classical,relaxed,0.29,70,0.83,0.38,0.98
